2419,2973,1009,4
2077,3830,4149,0
2646,99,4197,8
4319,95,1886,9
2585,3735,1461,1
4053,1056,641,4
1754,3673,2744,7
2830,399,4779,3
4581,1465,1903,2
642,1517,301,4
1389,3613,513,5
1902,810,1910,2
1417,4441,858,2
584,2641,1136,3
3077,2298,4679,2
1847,4624,4053,10
4472,2424,416,7
8,733,2915,4
4231,1441,4092,5
244,1058,1818,1
4998,4309,1867,7
458,1219,1551,4
1280,4065,2772,10
589,3509,260,10
869,4530,2523,6
1168,710,3994,1
2759,2434,648,9
3880,398,4874,2
3093,2229,2850,0
66,2174,4281,7
600,4974,4518,10
544,3652,4306,5
489,2249,2124,8
1238,2606,3671,6
3218,625,3492,0
4357,596,174,0
805,3030,1264,10
964,3948,1144,9
2367,2887,1034,4
2256,250,767,10
1490,4616,2033,9
1156,1217,1654,3
455,4238,3572,5
2931,2659,3476,3
4203,1734,3564,9
289,2064,407,3
4084,1204,509,2
1656,3393,511,3
4419,4300,2870,3
226,203,4400,1
2344,626,2802,6
1916,3716,3766,0
3029,3701,4548,9
2934,2742,2563,8
2656,4817,3681,4
4112,1866,347,7
1460,891,1332,2
2149,1982,259,1
2900,837,2104,7
3296,3794,622,1
4251,4386,478,0
1257,2060,4579,1
915,4122,15,5
4549,3577,2488,10
1012,1487,2510,0
339,1765,1953,3
2870,311,3121,0
4886,370,2615,1
597,4578,3497,1
2356,4718,848,8
4867,1209,3496,7
1432,4815,3983,0
3214,4473,4782,5
3740,829,1981,1
4484,3014,4785,2
2336,126,172,4
3414,3111,4551,10
2705,2366,3171,2
3412,3105,4946,4
246,3145,415,9
4032,1479,801,5
4455,933,1493,8
1094,642,457,7
2178,3280,1399,8
4789,1865,1420,4
4714,1086,912,3
2071,3805,2470,2
4077,2880,4018,4
1358,990,4613,9
3621,700,805,9
4136,3410,3512,7
3921,581,3073,7
199,518,3817,1
2740,3732,4994,9
2259,4390,3385,3
4573,38,276,7
4461,3836,3619,3
3659,2426,4054,8
4599,1196,2704,7
1419,3971,1892,7
2710,1527,392,5
960,1882,4649,7
967,4898,831,1
2944,4256,3879,4
1862,561,2003,3
725,2250,3097,3
3589,3415,894,7
3457,2637,2584,3
23,302,928,10
2991,1896,215,3
2111,880,2871,6
1219,3919,2764,0
1011,1621,1078,8
4373,580,2500,1
2081,3761,791,8
4349,4979,2692,0
4405,4345,927,8
54,806,4743,1
1117,3739,949,9
3129,3949,4480,5
886,1192,1849,10
3924,1776,750,3
1770,260,4661,9
2043,1978,4310,9
2122,4851,2058,1
3094,3376,3860,7
3954,3125,620,4
208,743,2051,5
704,3542,2286,10
1426,3864,619,3
4954,4077,288,5
4061,3885,1608,1
406,3040,1735,8
2029,1842,3230,4
4097,1232,2376,1
2522,1850,4194,8
1198,4230,3243,7
3647,2726,2186,4
944,2882,2700,7
2642,1025,3191,7
1197,1105,3781,10
506,4822,3542,2
1130,507,4939,8
3,3989,2050,0
1176,2407,2429,4
4903,3354,3961,1
4128,3727,3190,2
4318,2795,2926,2
4266,3281,1385,2
3852,4856,4818,3
333,4693,1235,5
2267,1767,3888,1
4681,3206,2480,9
320,3465,2187,6
4543,2330,705,1
1042,4593,2452,5
1194,1394,2379,3
3157,1912,431,7
2611,3261,3570,10
2220,3431,4914,7
4916,2720,1724,8
3961,3385,897,0
1971,340,1343,9
3099,839,3988,5
4282,3497,3499,9
476,3893,1358,1
2017,3626,876,0
1144,2537,435,7
2741,4272,265,10
1173,525,709,3
676,318,1856,7
1651,582,1598,6
2233,3163,1675,8
3097,527,252,2
2251,2685,4253,0
1384,4177,3213,10
571,1551,2271,1
3953,2664,191,3
2503,1746,4592,7
3830,1526,1361,2
7,3576,918,1
837,2416,840,10
2970,2881,3048,2
3573,221,3395,6
1675,916,2837,7
283,3389,4846,5
4526,219,3187,7
2860,2622,1414,9
2764,1549,1806,8
4326,4317,1853,8
819,3242,1687,7
2039,4064,324,9
1893,2063,233,5
284,1003,798,9
3321,3114,382,4
10,230,2494,9
1631,1870,2761,2
2003,2821,915,6
2261,4905,2828,2
2465,1422,3526,9
3307,1472,3262,9
212,3495,1219,5
3070,3176,449,5
3903,4580,3137,1
19,452,350,7
1422,4330,521,10
149,2984,1098,0
1535,141,4044,7
2707,1864,3415,6
2793,2269,2680,10
1831,4970,666,5
1090,2134,4250,8
2448,199,1032,1
2527,4129,4760,3
1520,644,3161,7
4814,284,159,2
4535,1820,1222,10
305,4071,2601,6
3650,1463,1812,7
1524,2774,1690,6
4118,3448,295,5
934,2234,3929,8
626,569,4710,4
630,1040,608,8
1503,663,2490,6
2531,2910,3498,4
1921,121,4014,1
3371,460,243,9
442,1189,380,7
1873,4541,1659,2
2593,4538,3403,6
234,3081,3183,6
1122,154,1878,3
1989,2508,1035,0
3221,4287,2180,1
772,226,1301,0
1411,1748,3951,3
3381,1500,1109,1
1947,4829,2502,2
3203,224,879,7
1109,335,4749,6
794,2846,1825,6
2989,542,3240,5
1851,4926,4126,2
1773,2524,4503,0
2169,1098,4183,9
2030,1249,3773,0
4212,3255,1831,9
4246,895,4171,1
759,4531,4141,9
3941,1554,2443,0
4792,4027,3539,10
1992,2832,1270,2
3438,1398,686,9
1408,770,477,3
4580,4173,3580,10
1073,888,1234,3
2006,1110,693,7
726,3878,4088,9
1046,184,3495,10
1758,3378,2737,2
603,301,96,6
2170,1191,264,6
1821,67,2545,3
71,1117,540,8
1318,3034,4442,10
4386,1220,1151,7
1772,4546,4257,4
413,1123,2220,6
3844,1639,4635,2
1390,947,4713,1
2895,1368,3345,4
4887,3811,1153,10
38,2618,604,2
2116,2806,3493,5
3255,1940,3428,5
154,2476,617,8
2564,1759,1783,5
4769,242,530,3
936,4656,2358,7
1822,125,1712,10
2210,1683,784,10
3918,4303,3486,0
1622,1936,296,8
2913,1173,732,4
774,2888,3686,9
3131,755,4180,2
3259,1,366,5
618,2417,2360,1
2265,3609,3513,4
1511,1103,640,6
3285,4298,4797,1
2278,3994,2695,1
635,337,890,2
2797,2911,105,8
2515,853,3690,9
681,2319,4181,6
453,3874,1939,8
3225,1574,2169,7
3908,4953,2453,9
2288,3110,1291,2
3037,3329,1695,2
899,1021,2230,4
4741,1684,4004,9
3002,1700,4702,3
1591,4536,959,9
4534,2951,4555,0
1008,3016,18,8
1449,675,2242,9
1020,35,1076,0
4684,664,718,4
1060,105,2252,5
4687,2757,1263,5
4881,2191,4934,0
4098,4268,4842,2
4658,828,1154,10
2735,3387,309,10
4505,4150,684,9
4052,1971,855,9
426,1790,352,10
1064,512,2202,0
1264,2510,3452,6
4490,1293,1166,6
1579,1011,954,4
1127,2626,486,3
3889,1048,3785,9
3124,3909,645,9
3538,2228,2783,4
1225,84,4060,0
1807,1456,1278,0
1153,196,1975,6
2936,29,2990,4
4918,896,471,1
4498,4326,1258,5
2920,2758,274,8
2536,2576,4135,4
1143,1032,2533,3
2120,1627,2582,8
4350,1178,594,1
276,1088,438,8
3205,4646,33,3
270,1147,373,9
1951,1983,4274,0
1562,2928,1607,10
3958,1552,2427,3
1895,2428,3960,1
1316,2647,270,1
1929,438,4844,10
4679,3238,2138,8
2998,533,842,7
3248,185,442,8
876,2578,1492,9
3049,1972,3037,10
3065,2860,2398,1
4229,222,593,5
3376,526,2137,3
3439,1316,1667,5
895,1658,290,3
2165,800,4534,7
4617,3737,957,9
272,1275,4402,4
2084,509,484,6
947,2707,2040,2
3934,3720,777,4
984,2037,3794,6
2185,4712,3194,2
3500,2011,490,8
4363,4685,2867,10
3359,573,4254,5
2453,4488,1293,4
1607,2154,2115,5
421,994,926,5
977,3314,167,3
720,2553,3630,6
1100,1435,3282,1
4488,4668,2877,2
1402,1985,1163,6
689,4740,4725,4
4289,4328,3211,10
4533,3299,1977,0
2018,2601,4300,10
3304,1655,2840,4
3007,914,3733,0
3867,1915,258,3
4590,3944,133,9
892,980,4540,5
483,1511,2543,5
2451,2701,3338,2
4562,1903,4987,6
2665,3069,1446,8
2893,1836,3225,5
1196,651,247,2
3550,3093,2969,5
3698,3902,1858,8
2452,4857,3963,7
2726,597,1701,9
3340,3267,3839,7
4151,4466,2232,2
1937,4278,4178,9
649,1707,4763,2
3523,1928,1073,10
2418,3780,726,0
4348,1317,351,5
3209,3468,2572,6
828,3209,3705,4
622,2474,1249,9
189,4537,4647,2
3411,2401,4630,5
3806,2931,1010,5
3670,2270,2869,4
2368,4141,956,7
3052,4966,1904,4
77,4286,3528,4
3799,2201,452,3
4111,412,633,7
4651,4677,156,7
2715,1235,1500,2
2397,998,4106,2
2708,575,119,4
3669,1390,2736,4
91,413,3129,5
3441,2848,651,7
3611,3318,4319,6
3839,536,2522,3
2445,1661,3440,0
109,2360,4521,1
1724,1677,2154,7
941,2698,4289,9
2371,1152,61,10
4605,88,181,4
3676,1577,505,1
108,2023,4072,9
2595,2784,426,10
3446,1261,4501,3
1672,3428,4154,2
1790,477,4151,6
2455,112,4107,0
3300,2299,1855,6
3469,3377,1549,4
1193,4387,2325,5
1034,2169,481,9
4049,197,1804,1
2037,3064,1755,7
2421,1995,988,5
1049,478,3158,8
3488,1583,1745,8
1430,4157,2462,2
373,3952,2285,1
3831,2655,1901,9
